,child_id,bursts_count,burst_lengths,mean_burst_length,std_burst_length,mean_burst_amplitude,mean_burst_std
29,115RTP1,14,[ 8  3  4 12 15  2 19 10  2  9 15 18  8 15],10.0,5.644213218610974,412.67309914285704,83.50082258652728
30,115RTP2,5,[2 6 4 7 3],4.4,1.8547236990991407,300.6927223320159,27.75778209221021
31,115RTP3,6,[10  9  2  4  3  1],4.833333333333333,3.435921354681384,345.6689740315026,93.16554064235187
32,115RTP4,8,[ 2 12  8  5 12  1  3  4],5.875,4.044672421840859,321.55127148936174,41.821264908173674
33,116RTP1,12,[ 2  8  5  4 14 15 18  2  4  7  5 14],8.166666666666666,5.351531452667441,352.187335619962,69.23928607336788
34,116RTP2,10,[ 4  6  3  2  4  8 14 19 19  9],8.8,6.079473661428266,327.5903781194295,36.64415843583239
35,116RTP3,14,[ 3  6  1  7  8  1  8  7 15  6  5 13  8 15],7.357142857142857,4.302941566236867,220.80833685852969,28.11091613366683
36,116RTP4,7,[ 5 10  7  7 13 22  6],10.0,5.503245795502349,321.96472369747903,50.71572332488217
37,117RTP1,4,[ 6  6  1 10],5.75,3.191786333700926,378.33816281221107,76.33848391036794
38,117RTP2,9,[ 1  7  4  8  7  6  5 11  4],5.888888888888889,2.6851213274654606,288.0517153821553,39.310965227595716
39,117RTP3,12,[ 9  3 23  5 12 17 12  1  3  3 17  2],8.916666666666666,6.945722104688293,233.56592003083153,39.174619725384524
40,117RTP4,3,[ 7 10  5],7.333333333333333,2.0548046676563256,205.82035606060606,22.50043467669608
41,118RTP1,2,[14 14],14.0,0.0,533.0185411764703,125.89808430997793
42,118RTP2,5,[ 9  1  3 12  3],5.6,4.176122603564219,171.13367109634547,39.82361220193564
43,118RTP3,11,[13  6  8 11  5 11  6  4 11 12  5],8.363636363636363,3.1413004623947267,227.503477195226,45.89307127780686
44,118RTP4,2,[6 5],5.5,0.5,162.71256198347103,6.814620070441204
45,119RTP1,12,[11 14 18 15 11 13 17 10 10  3  4  2],10.666666666666666,5.071708018234313,322.5917273882115,55.167693481490296
46,119RTP2,7,[12 12  4  9  7  6  7],8.142857142857142,2.799416848895061,518.2193189600508,103.68174114691898
47,119RTP3,11,[ 1  6  2 17 10 14  6  9  3  2  7],7.0,4.917501213199462,303.47979369588757,38.45417134510562
48,119RTP4,6,[ 2  2  1  6 12 13],6.0,4.864839839775475,429.95054810996567,130.41591037581523
49,120RTP1,5,[9 2 5 4 3],4.6,2.4166091947189146,325.1148970251715,114.9206900002487
50,120RTP2,5,[10  6  8  7  5],7.2,1.7204650534085253,177.3875456790124,29.46514863663134
51,120RTP3,3,[ 9 10  5],8.0,2.160246899469287,891.327789351852,104.17708944216587
52,120RTP4,4,[2 6 7 2],4.25,2.277608394786075,324.32602823529413,27.538149726796917
53,121RTP2,5,[27 11 10  2  6],11.2,8.51821577561874,371.3108083182643,64.21765041369198
54,122RTP1,9,[ 1  3  9  8  5 12 11  2  8],6.555555555555555,3.744955454745048,166.931525206432,21.40399865870546
55,122RTP2,5,[ 5 11 12  5 11],8.8,3.1240998703626617,477.8605494505495,115.68469475182867
56,122RTP3,2,[ 5 14],9.5,4.5,300.9171194331984,84.95811409688045
57,123RTP1,12,[ 2 10 14  2 11 13  5  1 16  9 13  1],8.083333333333334,5.345688813323208,368.4438281178726,57.63506519827656
58,123RTP2,8,[ 8 14 15  4  6  7  4  5],7.875,4.044672421840859,294.2946863572433,31.937727762442194
59,123RTP3,6,[12 13  7 11  3  2],8.0,4.320493798938574,470.8077749515505,108.00549111120026
60,123RTP4,7,[ 7 28  9 15  3  9 12],11.857142857142858,7.4532556918546184,305.49804854712966,69.7877952820702
61,124RTP1,6,[13 14  2  4  7  7],7.833333333333333,4.374801582802229,180.61473966053072,43.513610034033725
62,124RTP2,8,[11  6  7  1  2  4  9  5],5.625,3.1598061649411346,151.9826576388889,29.000827588752127
63,125RTP1,8,[ 7  2 12  1  1  6 11  4],5.5,4.031128874149275,154.1584165834167,32.47357162415481
64,125RTP2,3,[10  4 11],8.333333333333334,3.0912061651652345,231.5815588571428,49.6676631418536
65,125RTP3,2,[18  9],13.5,4.5,361.22731599684784,86.49947403910659
66,127RTP1,7,[ 7 20  8  7 12  7  4],9.285714285714286,4.89064079103534,504.04288558500355,123.97177608389954
67,127RTP2,8,[ 4 29 12  5  8  2 12 17],11.125,8.192031188905473,321.1965547630679,53.89740713058661
68,127RTP3,4,[22  6  5  4],9.25,7.39509972887452,500.7776208602969,104.21039346294414
69,127RTP4,5,[10 22  2  9  7],10.0,6.603029607687671,497.82934211764723,114.21252923450642
70,128RTP1,10,[ 8  2 11 13  3  1 16  4  6  9],7.3,4.733920151417849,249.08776089663766,50.84318772503743
71,128RTP2,10,[ 7 16  6  7  9 35  5 10  7 15],11.7,8.521150157109073,554.7746653517423,51.76248621981219
72,128RTP3,10,[ 6 14  8  2  8 11  8  2  9  8],7.6,3.4698703145794947,247.00403738317772,42.842625537022165
73,128RTP4,4,[ 2 23  7  2],8.5,8.616843969807043,631.5980311764705,205.11754319910156
74,129RTP1,13,[ 6 11  7  5  8  9 15 10 11  4 11  6 10],8.692307692307692,2.9452599567810225,359.5928552886643,37.62431746634163
75,129RTP2,8,[ 7  8  6  3 10 24 13 10],10.125,5.946374946133148,339.2655942028987,50.6237411630428
76,129RTP3,7,[ 9 14  3  5  7  5  8],7.285714285714286,3.325841921949376,346.9506421029951,109.11020412334194
77,129RTP4,8,[ 5  4  8  8  3  7 11 14],7.5,3.427827300200522,365.2735765873015,89.883057725661
78,130RTP1,8,[ 1  4  6  2 19 10  5 10],7.125,5.441449714919729,363.0786101973683,61.579410239065844
79,130RTP2,4,[ 1 12  6 18],9.25,6.378675411086537,272.12115127627635,51.594297551955684
80,130RTP3,3,[11  5  9],8.333333333333334,2.494438257849294,352.9541651851851,72.25320723973046
81,131RTP1,8,[11  1  6  5  6 17 12  6],8.0,4.69041575982343,476.8777209558825,79.89865412809114
82,131RTP2,6,[10  4  7  1 14  6],7.0,4.163331998932265,275.55074500768046,54.78100856209113
83,131RTP3,5,[9 9 8 6 4],7.2,1.9390719429665317,335.59945166666665,45.64947910823895
84,131RTP4,11,[ 9  8 11  3  7  2 11  6  2 30  4],8.454545454545455,7.499862257688306,549.2043020184874,92.51807712287011
85,133RTP1,3,[ 3 21 12],12.0,7.3484692283495345,271.539447493225,74.6612285119948
86,133RTP2,3,[12  7 15],11.333333333333334,3.2998316455372216,357.884786053131,73.2758946839388
87,133RTP3,9,[ 5  7  4 11 10  4  6 10 11],7.555555555555555,2.7932900199947857,172.07778676470585,35.621917140330225
88,133RTP4,6,[ 2  1 10  8  7 10],6.333333333333333,3.5901098714230026,132.86187081339713,20.724947737712267
89,134RTP1,10,[ 3  4 12 15  7  7  1 10  4  2],6.5,4.364630568559039,447.4729704273505,94.85090026162835
90,134RTP2,9,[ 4  6 10  9 10  2  5 14  5],7.222222222222222,3.552081636254618,590.9903684315683,57.71062873444121
91,134RTP3,5,[ 9 10  8 10  3],8.0,2.6076809620810595,228.2905662162163,27.535620310491712
92,134RTP4,4,[ 3  4 19 11],9.25,6.417748826496718,302.1411056511056,57.59766495954053
93,135RTP1,8,[ 3 11  2  5  7 13  5  8],6.75,3.5619517121937516,392.66941743827186,94.32243605911907
94,135RTP3,6,[ 3 13 11  6  9  5],7.833333333333333,3.4840908267278117,420.83650610717115,130.82954301585727
95,135RTP4,7,[ 6 10  7  9  5  7 10],7.714285714285714,1.8294640678379568,252.96894512195107,37.09435592412607
96,136RTP1,6,[ 1  2 14  5 12 10],7.333333333333333,4.955356249106169,295.8630748663103,46.002691012538115
97,136RTP2,4,[16 13 10  8],11.75,3.031088913245535,400.90330574176596,64.34920767379286
98,136RTP3,7,[ 1  9  9  5  4  9 12],7.0,3.5050983275386565,273.28379633915426,62.68094376865808
99,136RTP4,9,[ 9  3 17  6 11  4  1  3  8],6.888888888888889,4.700932400290262,298.1647867572158,71.35464042368152
100,137RTP1,4,[16  3  5 14],9.5,5.5901699437494745,115.9847469358327,28.247795721992972
101,137RTP2,5,[10  4 16  1 12],8.6,5.4258639865002145,392.5001193328635,85.70124272333047
102,137RTP3,10,[14  1  8  8  8  3  1 10  2  3],5.8,4.190465367951393,161.71694134376114,22.26158721821488
103,137RTP4,6,[ 4  6  8 19  2 11],8.333333333333334,5.557777333511022,323.29069925,59.236358807395234
104,139RTP1,8,[12  7  6  9  2  7  5  1],6.125,3.3330729064933458,447.28043839758107,42.3689524081087
105,139RTP2,4,[ 6 12  8 12],9.5,2.598076211353316,351.4862972572275,74.33077472112564
106,139RTP3,4,[17  7  1 22],11.75,8.227241335952167,350.7615251845422,71.55133733683135
107,139RTP4,6,[ 7 12  7 11  7 10],9.0,2.0816659994661326,446.0790679857939,76.05842699740525
108,140RTP1,13,[ 4 14  7 24 30  3 12  6  4 10  5  7 13],10.692307692307692,7.83860874021969,440.94514230901,68.32830850448104
109,140RTP2,21,[21 11  3 12  8 11 15 20  3  4  7  8 15  9  8  5  6 21 14  4  1],9.80952380952381,5.884758745057298,289.9881827357493,63.57979313603608
110,140RTP3,10,[ 1 11  9 11 12 20  8  1  6  6],8.5,5.315072906367325,640.1157751948972,110.24022690160328
111,140RTP4,5,[ 2  5 27  7  2],8.6,9.3936148526539,601.0370766217874,176.50822235535023
112,141RTP1,8,[11 19  4  4 10 10  4 19],10.125,5.818880906153691,356.94139613526573,57.74220572708411
113,141RTP2,7,[ 2  7  5  9  4  3 10],5.714285714285714,2.813959371941744,361.0011615384616,69.00016506097496
114,141RTP3,8,[10 11  5 15  1 10  4  1],7.125,4.78114787472632,409.1974131996659,74.72062203016573
115,141RTP4,10,[ 8 22 12  6  1  8  2 13 13  7],9.2,5.81033561853358,268.9922730111008,31.71952356751829
